second,pathA_quic_mbps,pathB_quic_mbps,total_quic_mbps,session_key,session_label,role,global_t0,run_id
159,24.629288,0.426936,25.056224,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
160,24.26792,0.425088,24.693008,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
161,24.956904,0.426936,25.383840000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
162,24.734592,0.424472,25.159064,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
163,24.321816,0.425088,24.746903999999997,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
164,24.890096,0.424448,25.314544,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
165,24.790992,0.424472,25.215464,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
166,24.48156,0.424472,24.906032000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
167,25.08028,0.424472,25.504752,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
168,24.812296,0.424472,25.236768,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
169,24.51392,0.424472,24.938392,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
170,25.211432,0.424448,25.63588,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
171,24.825704,0.422008,25.247712000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
172,24.615272,0.425704,25.040976,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
173,25.300896,0.422624,25.72352,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
174,24.872864,0.42324,25.296104,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
175,24.718888,0.424472,25.14336,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
176,25.32912,0.422008,25.751128,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
177,25.005656,0.423216,25.428872,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
178,24.784304,0.42324,25.207544,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
179,25.378952,0.435328,25.81428,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
180,26.007328,0.424768,26.432096,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
181,26.108432,0.42388,26.532312,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
182,26.038448,0.42324,26.461688,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
183,25.902544,0.424472,26.327016,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
184,25.793024,0.423856,26.21688,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
185,25.991576,0.422624,26.414199999999997,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
186,25.397656,0.424472,25.822128000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
187,26.164328,0.425112,26.58944,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
188,26.249192,0.424472,26.673664000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
189,26.228912,0.421392,26.650304000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
190,26.211648,0.421392,26.63304,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
191,26.12908,0.422008,26.551088,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
192,26.29812,0.422008,26.720128000000003,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
193,26.378208,0.422008,26.800216000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
194,26.073352,0.422032,26.495384,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
195,25.931496,0.422624,26.354119999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
196,26.092312,0.421392,26.513704,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
197,25.761184,0.424472,26.185656,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
198,25.54268,0.40356,25.94624,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
199,26.478976,0.422624,26.9016,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
200,26.4194,0.422624,26.842024,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
201,26.342896,0.420776,26.763672,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
202,25.944944,0.422624,26.367568,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
203,26.431472,0.422648,26.854119999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
204,25.931248,0.42016,26.351408,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
205,26.21944,0.422624,26.642063999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
206,26.59332,0.420696,27.014015999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
207,26.620016,0.422624,27.04264,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
208,26.44888,0.42016,26.86904,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
209,26.58716,0.418312,27.005472,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
210,26.122912,0.419544,26.542455999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
211,26.614936,0.422008,27.036944000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
212,25.94216,0.421392,26.363552000000002,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
213,26.713928,0.419568,27.133496,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
214,26.844032,0.417696,27.261727999999998,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
215,26.249816,0.415848,26.665664,gate_1pct,1% debug,baseline,1780864596.210403,20260607_203635
